USC00411430,20240527,TMIN,89,,,7,0800
US1WYSW0036,20240516,PRCP,0,,,N,0900
BF1LI000005,20240520,SNOW,0,,,N,0730
LG000026403,20240514,TAVG,114,H,,S,
CA1PE000065,20240516,PRCP,0,,,N,0900
USC00478589,20240529,TOBS,106,,,7,0830
USC00097087,20240509,SNOW,0,,,7,
USS0035K02S,20240529,TAVG,56,,,T,
US1INMM0004,20240530,SNOW,0,,,N,0700
JA000047769,20240515,PRCP,0,B,,S,
USW00003160,20240525,ASLP,10054,,,W,
USC00387687,20240518,TMIN,172,,,7,0730
CHM00059501,20240524,PRCP,594,,,S,
NOE00134778,20240510,PRCP,0,,,E,
US1PAWN0013,20240531,SNOW,0,,,N,0700
US1GAOC0014,20240518,PRCP,5,,,N,0700
US1SDDL0002,20240504,PRCP,104,,,N,0700
USC00140693,20240503,SNWD,0,,,7,0830
US1NCLR0023,20240524,PRCP,3,,,N,0700
US1AZCN0113,20240516,SNOW,0,,,N,0700
USR0000OKE2,20240526,TMIN,6,H,,U,
USW00004839,20240529,WDF5,290,,,W,
USC00293142,20240514,PRCP,0,,,7,0730
USC00144598,20240530,SNWD,0,,,7,0600
USS0010J23S,20240507,TOBS,-94,,,T,
USW00013997,20240509,TAVG,188,H,,S,
USC00427729,20240509,SNWD,0,,,7,0900
USW00093010,20240531,PRCP,36,,,W,
US1COEP0402,20240515,PRCP,61,,,N,0800
USR0000MMOR,20240507,TAVG,146,,,U,
RSM00022292,20240528,TMAX,1,,,S,
USC00411920,20240514,SNOW,0,,,7,
US1TXMNG088,20240525,SNOW,0,,,N,0830
LG000026339,20240519,TMAX,249,,,S,
USC00157215,20240523,TMIN,161,,,7,0600
USC00046336,20240504,PRCP,183,,,7,2400
USW00003930,20240530,TMAX,294,,,W,
US1COLR1356,20240527,SNOW,0,,,N,0700
USW00023061,20240510,WSF5,121,,,W,
USW00022016,20240509,TMAX,374,,,R,
US1OHHY0014,20240524,PRCP,0,,,N,0700
US1KSKM0020,20240508,PRCP,0,,,N,0700
USC00241518,20240516,TOBS,94,,,7,1900
US1KSJO0088,20240503,MDPR,231,,,N,0700
ASN00039089,20240504,TMAX,219,,,a,
RSM00029418,20240531,PRCP,0,B,,S,
USC00010260,20240526,TMIN,194,,,7,0700
USC00211227,20240501,TMAX,183,,,7,0800
USC00235307,20240521,TMAX,289,,,7,0700
USC00306774,20240530,SNWD,0,,,7,0700
US1PACH0061,20240515,PRCP,5,,,N,0700
USW00014771,20240525,WSF2,76,,,W,
NOE00134694,20240525,PRCP,0,,,E,
USW00026656,20240524,TMAX,79,,,R,
US1COJF0530,20240520,SNOW,0,,,N,0900
USC00434290,20240531,SNOW,0,,,7,
US1MILV0034,20240520,SNOW,0,,,N,0800
USW00093915,20240507,TMIN,233,,,W,
USC00143974,20240502,SNOW,0,,,7,
SWE00139312,20240520,PRCP,0,,,E,
USW00093197,20240510,WT01,1,,,W,
USC00068138,20240503,TOBS,83,,,7,0800
ASN00006008,20240507,PRCP,0,,,a,
UV000005522,20240514,PRCP,51,,,S,
USC00053016,20240528,SNOW,0,,,7,
USC00502610,20240504,SNOW,0,,,7,
US1ILJF0014,20240506,PRCP,173,,,N,0700
USC00314456,20240508,TOBS,206,,,7,0600
US1TXFY0036,20240523,SNOW,0,,,N,0800
US1NJAT0065,20240509,SNOW,0,,,N,0700
US1WIEC0041,20240512,SNOW,0,,,N,0700
US1WIEC0004,20240524,PRCP,0,,,N,0700
USC00311538,20240515,PRCP,140,,,7,0800
US1ALWN0006,20240516,SNOW,0,,,N,0700
IRM00040827,20240508,TMIN,200,,,S,
US1NMDA0222,20240503,PRCP,0,,,N,0800
USC00218450,20240514,SX35,139,,,7,0800
SWE00138526,20240502,TMIN,96,,,E,
USC00473116,20240517,TMAX,183,,,7,0700
US1KYWR0043,20240526,SNOW,0,,,N,0700
SWE00139186,20240523,TMAX,251,,,E,
US1MNHN0499,20240522,PRCP,409,,,N,0700
UKM00003414,20240526,TMAX,171,,,E,
USC00250030,20240520,TMAX,244,,,7,1600
USW00012894,20240522,AWND,30,,,W,
USC00241905,20240518,TMAX,189,,,7,0800
USC00489604,20240501,PRCP,5,,,7,2400
TO000005376,20240520,TMIN,245,,,S,
USW00026411,20240528,AWBT,94,,,W,
NOE00109921,20240522,SNWD,0,,,E,
US1NJBG0015,20240510,PRCP,76,,,N,0700
USW00025329,20240530,WSF2,40,,,W,
US1KSFI0026,20240517,PRCP,0,,,N,0700
FIE00143370,20240526,TMIN,126,,,E,
ARM00087448,20240511,TAVG,63,H,,S,
USW00025628,20240507,AWND,32,,,W,
US1COWE0515,20240519,SNOW,0,,,N,0800
US1NCJH0105,20240530,PRCP,0,,,N,0700
CA1NS000020,20240507,PRCP,0,T,,N,0700
UKM00003862,20240503,TAVG,116,H,,S,
US1WYLN0013,20240509,PRCP,20,,,N,0800
CHM00050968,20240504,TAVG,216,H,,S,
USC00057582,20240509,SNWD,0,,,7,0800
US1TXGP0014,20240511,PRCP,0,,,N,0700
USC00410639,20240526,PRCP,0,,,7,0800
USC00478978,20240521,TMIN,94,,,7,
USW00012924,20240513,WDF2,350,,,W,
US1OHCY0016,20240503,SNWD,0,,,N,2359
US1NMSN0091,20240517,SNOW,0,,,N,1000
US1AZPM0135,20240514,PRCP,0,,,N,0600
US1CODN0333,20240523,SNOW,0,,,N,0705
US1TXPR0031,20240513,PRCP,178,,,N,0600
US1KSSF0018,20240509,SNOW,0,,,N,0600
USC00129113,20240504,TOBS,178,,,7,0700
JA000047617,20240505,TMIN,90,,,S,
USC00126580,20240502,WT01,1,,,7,
US1NCNH0035,20240507,MDPR,516,,,N,0900
CA1SK000180,20240528,PRCP,0,,,N,0700
US1AZPM0263,20240520,SNOW,0,,,N,0700
USC00338951,20240504,SNOW,0,,,7,
POM00008521,20240514,TAVG,189,H,,S,
USW00004854,20240505,WSF2,72,,,W,
USS0006H19S,20240510,TAVG,34,,,T,
IRM00040723,20240507,PRCP,0,,,S,
USW00054779,20240510,PRCP,109,,,W,2400
US1TXHYS196,20240510,PRCP,140,,,N,0700
US1SCCR0251,20240510,PRCP,254,,,N,0700
USS0005G04S,20240519,WESD,0,,,T,
USS0010D24S,20240527,TOBS,-17,,,T,
RMW00040710,20240518,ASLP,10068,,,W,
RQC00664331,20240531,PRCP,0,,,7,0800
USW00054795,20240526,PRCP,9,,,R,
USW00094961,20240530,WDF5,190,,,W,
US1NJMD0043,20240513,PRCP,69,,,N,0700
US1PANH0021,20240527,PRCP,0,,,N,0700
USC00115825,20240506,PRCP,0,,,7,0800
FIE00142526,20240522,PRCP,0,,,E,
USR0000GNEW,20240521,TMAX,300,H,,U,
ASN00094195,20240528,TMIN,42,,,a,
RSM00023518,20240514,TMIN,-40,,,S,
UPM00033393,20240512,TMAX,168,,,S,
USC00029309,20240502,PRCP,0,,,7,0500
US1WIWK0016,20240501,WESD,0,,,N,0605
FIE00146663,20240522,TMIN,-18,,,E,
USW00023136,20240512,WT08,1,,,W,
USS0009M02S,20240504,PRCP,0,,,T,
USC00290640,20240512,TOBS,106,,,7,2400
USC00050754,20240501,TOBS,106,,,7,0800
USC00465875,20240527,PRCP,58,,,7,0700
USC00482466,20240528,TMAX,200,,,7,0800
TX000038656,20240526,TMIN,152,,,S,
US1NHRC0048,20240506,PRCP,132,,,N,0700
USC00065910,20240509,TMAX,228,,,7,0700
USC00331516,20240514,TOBS,156,,,7,0700
USC00144531,20240521,TMIN,172,,,7,0700
NOE00134310,20240501,SNWD,0,,,E,
USW00022001,20240514,TMIN,178,,,W,
USW00014707,20240501,PGTM,1457,,,W,
ASN00035109,20240515,PRCP,0,,,a,
US1NCCY0005,20240502,WESD,0,,,N,0700
SWE00137704,20240519,PRCP,0,,,E,
USC00503695,20240523,PRCP,127,,,7,0900
US1COMT0036,20240506,SNOW,0,,,N,0700
USC00051660,20240516,SNOW,0,,,7,
USC00395506,20240517,SNOW,0,,,7,
USW00023061,20240519,RHMX,71,,,W,
USW00053914,20240527,TMAX,356,,,W,
ASN00006011,20240503,TAVG,254,H,,S,
RIE00111909,20240516,TAVG,167,H,,S,
SPE00120170,20240509,TMAX,286,,,E,
USC00052196,20240513,SNWD,0,,,7,0800
USR0000MHIL,20240515,TMIN,61,H,,U,
JA000047897,20240511,PRCP,0,B,,S,
USC00043161,20240512,PRCP,0,,,7,1600
USS0015F05S,20240509,TMIN,-54,,,T,
CA1ON000748,20240512,PRCP,23,,,N,0700
USR0000NFOX,20240511,TAVG,137,,,U,
US1MNAT0032,20240502,SNOW,0,,,N,0700
US1ILWN0010,20240506,PRCP,0,,,N,0700
USC00412125,20240512,TMIN,206,,,7,0600
USC00502568,20240522,SNOW,0,,,7,
USC00303050,20240526,PRCP,0,,,7,0800
US1TXLL0059,20240530,SNOW,0,,,N,0700
USS0019L44S,20240508,SNWD,711,,,T,
ASN00068213,20240509,PRCP,170,,,a,
US1KSFO0080,20240519,PRCP,132,,,N,0700
US1MNSL0339,20240510,PRCP,0,,,N,0700
RSM00023412,20240529,SNWD,20,,,S,
US1NJGL0053,20240526,PRCP,0,,,N,0800
CA1ON000876,20240511,SNOW,0,,,N,0700
USW00094624,20240510,PRCP,0,T,,W,
USW00012849,20240508,AWBT,239,,,W,
US1NMBR0124,20240515,SNOW,0,,,N,0800
US1TXEP0144,20240508,SNOW,0,,,N,0800
US1FLHN0026,20240516,PRCP,28,,,N,0712
USS0007M33S,20240531,TMIN,-8,,,T,
SWE00138302,20240507,TMIN,43,,,E,
USC00475352,20240529,TOBS,128,,,7,0900
KZ000035358,20240503,TAVG,131,H,,S,
USS0007M21S,20240502,TMIN,-43,,,T,
USC00410433,20240519,TMIN,194,,,7,0700
USC00414333,20240514,PRCP,0,,,7,2400
USW00003849,20240521,WSF2,58,,,W,
USC00117876,20240513,SNOW,0,,,7,
USS0020L10S,20240513,TMIN,17,,,T,
USW00024037,20240515,AWBT,111,,,W,
USC00449213,20240511,SNOW,0,,,7,
BGM00041943,20240518,TAVG,282,H,,S,
USR0000ABRK,20240520,TAVG,128,,,U,
US1TXHYS292,20240530,PRCP,0,,,N,0700
US1IDBR0015,20240513,PRCP,0,,,N,0700
US1NCCR0107,20240503,PRCP,0,,,N,0525
USC00305233,20240516,TMAX,178,,,7,0700
USC00049073,20240505,SNWD,0,,,7,
NLE00155464,20240525,TMAX,149,,,E,
USC00366508,20240521,PRCP,0,,,7,2400
